"campaignid","sample","family","genus","species","length","number","range"
"2020-06_south-west_stereo-BRUVs","03","Glaucosomatidae","Glaucosoma","hebraicum",658.96396,1,1935.2688
"2020-06_south-west_stereo-BRUVs","03","Labridae","Coris","auricularis",89.06823,1,1404.71204
"2020-06_south-west_stereo-BRUVs","03","Labridae","Coris","auricularis",168.40496,1,1677.7906
"2020-06_south-west_stereo-BRUVs","03","Labridae","Coris","auricularis",138.6721,1,3256.56411
"2020-06_south-west_stereo-BRUVs","03","Triakidae","Furgaleus","macki",1283.4758,1,2544.81557
"2020-06_south-west_stereo-BRUVs","03","Sparidae","Chrysophrys","auratus",388.07084,1,1662.87874
"2020-06_south-west_stereo-BRUVs","03","Sparidae","Chrysophrys","auratus",388.46112,1,1308.55093
"2020-06_south-west_stereo-BRUVs","03","Scorpididae","Neatypus","obliquus",81.45207,1,1889.69242
"2020-06_south-west_stereo-BRUVs","03","Scorpididae","Neatypus","obliquus",142.7334,1,1677.61027
"2020-06_south-west_stereo-BRUVs","03","Scorpididae","Neatypus","obliquus",85.5597,1,1327.30199
"2020-06_south-west_stereo-BRUVs","03","Scorpididae","Neatypus","obliquus",83.97469,1,1393.33616
"2020-06_south-west_stereo-BRUVs","03","Scorpididae","Neatypus","obliquus",83.90355,1,1460.54771
"2020-06_south-west_stereo-BRUVs","03","Scorpididae","Neatypus","obliquus",77.38731,1,1380.37383
"2020-06_south-west_stereo-BRUVs","03","Scorpididae","Neatypus","obliquus",77.90743,1,1315.45042
"2020-06_south-west_stereo-BRUVs","03","Scorpididae","Neatypus","obliquus",73.11662,1,1634.30192
"2020-06_south-west_stereo-BRUVs","03","Scorpididae","Neatypus","obliquus",102.86295,1,1555.82832
"2020-06_south-west_stereo-BRUVs","04","Aulopidae","Latropiscis","purpurissatus",188.58429,1,4111.75566
"2020-06_south-west_stereo-BRUVs","04","Labridae","Pseudolabrus","biserialis",191.90524,1,3377.67798
"2020-06_south-west_stereo-BRUVs","04","Carangidae","Pseudocaranx","spp",238.44891,1,2269.38529
"2020-06_south-west_stereo-BRUVs","04","Carangidae","Pseudocaranx","spp",231.61889,1,2329.13873
"2020-06_south-west_stereo-BRUVs","04","Carangidae","Pseudocaranx","spp",243.45736,1,2073.6542
"2020-06_south-west_stereo-BRUVs","04","Labridae","Ophthalmolepis","lineolatus",240.01539,1,5829.04584
"2020-06_south-west_stereo-BRUVs","04","Labridae","Ophthalmolepis","lineolatus",314.66063,1,6640.4647
"2020-06_south-west_stereo-BRUVs","04","Triakidae","Mustelus","antarcticus",1173.91653,1,1637.03548
"2020-06_south-west_stereo-BRUVs","04","Scorpididae","Neatypus","obliquus",131.8184,1,2992.3658
"2020-06_south-west_stereo-BRUVs","04","Scorpididae","Neatypus","obliquus",103.2111,1,2868.25202
"2020-06_south-west_stereo-BRUVs","04","Scorpididae","Neatypus","obliquus",90.62683,1,1510.62306
"2020-06_south-west_stereo-BRUVs","04","Scorpididae","Neatypus","obliquus",94.75215,1,1450.72523
"2020-06_south-west_stereo-BRUVs","04","Scorpididae","Neatypus","obliquus",92.14024,1,1255.76957
"2020-06_south-west_stereo-BRUVs","04","Scorpididae","Neatypus","obliquus",204.82464,1,2573.54154
"2020-06_south-west_stereo-BRUVs","04","Scorpididae","Neatypus","obliquus",91.97715,1,1454.13165
"2020-06_south-west_stereo-BRUVs","04","Scorpididae","Neatypus","obliquus",201.93803,1,1654.42063
"2020-06_south-west_stereo-BRUVs","04","Scorpididae","Neatypus","obliquus",156.66737,1,1111.78444
"2020-06_south-west_stereo-BRUVs","04","Scorpididae","Neatypus","obliquus",79.76113,1,634.94789
"2020-06_south-west_stereo-BRUVs","04","Sparidae","Chrysophrys","auratus",356.03161,1,1789.88961
"2020-06_south-west_stereo-BRUVs","04","Sparidae","Chrysophrys","auratus",438.13063,1,4939.17342
"2020-06_south-west_stereo-BRUVs","04","Sparidae","Chrysophrys","auratus",416.83886,1,1421.54123
"2020-06_south-west_stereo-BRUVs","04","Cheilodactylidae","Nemadactylus","valenciennesi",408.42838,1,2581.75535
"2020-06_south-west_stereo-BRUVs","04","Cheilodactylidae","Nemadactylus","valenciennesi",408.08191,1,3385.32718
"2020-06_south-west_stereo-BRUVs","04","Cheilodactylidae","Nemadactylus","valenciennesi",380.60371,1,3992.76011
"2020-06_south-west_stereo-BRUVs","04","Labridae","Coris","auricularis",365.29453,1,1351.01487
"2020-06_south-west_stereo-BRUVs","05","Mullidae","Upeneichthys","vlamingii",194.23178,1,2474.65421
"2020-06_south-west_stereo-BRUVs","05","Mullidae","Upeneichthys","vlamingii",186.01249,1,2481.35637
"2020-06_south-west_stereo-BRUVs","05","Gerreidae","Parequula","melbournensis",90.60999,1,1822.08103
"2020-06_south-west_stereo-BRUVs","05","Gerreidae","Parequula","melbournensis",87.5399,1,1506.92452
"2020-06_south-west_stereo-BRUVs","05","Gerreidae","Parequula","melbournensis",94.52875,1,2083.42122
"2020-06_south-west_stereo-BRUVs","05","Gerreidae","Parequula","melbournensis",84.21653,1,2609.45925
"2020-06_south-west_stereo-BRUVs","05","Gerreidae","Parequula","melbournensis",84.57216,1,1645.05188
"2020-06_south-west_stereo-BRUVs","05","Gerreidae","Parequula","melbournensis",81.19395,1,1766.35143
"2020-06_south-west_stereo-BRUVs","05","Gerreidae","Parequula","melbournensis",93.13357,1,1863.78809
"2020-06_south-west_stereo-BRUVs","05","Labridae","Austrolabrus","maculatus",86.77555,1,1330.33507
"2020-06_south-west_stereo-BRUVs","05","Tetraodontidae","Omegophora","armilla",254.13328,1,2522.27525
"2020-06_south-west_stereo-BRUVs","05","Monacanthidae","Scobinichthys","granulatus",194.26291,1,1500.72164
"2020-06_south-west_stereo-BRUVs","05","Labridae","Ophthalmolepis","lineolatus",223.91385,1,1472.89521
"2020-06_south-west_stereo-BRUVs","05","Labridae","Ophthalmolepis","lineolatus",180.02383,1,3852.98595
