"campaignid","sample","dataset","planned.or.exploratory","latitude","longitude","date","time","location","status","site","depth","observer","successful.count","successful.length","commonwealth.zone","state.zone","raw.hdd.number","con.hdd.number"
"2020-10_south-west_stereo-BRUVs","IO275","IO","Legacy",-34.09868897,114.6463721,20201123,"14:38","South-west","No-take","C.IO.15",140,"Daphne","Yes","No","National Park Zone",NA,"RAW5","RAW5"
"2020-10_south-west_stereo-BRUVs","IO276","IO","Legacy",-34.10118897,114.6363721,20201123,"7:34","South-west","No-take","C.IO.15",140,"Rachel","Yes","Yes","National Park Zone",NA,"RAW5.5",NA
"2020-10_south-west_stereo-BRUVs","IO277","IO","Legacy",-34.10618897,114.6463721,20201123,"7:53","South-west","No-take","C.IO.15",139,"Brooke Gibbons","Yes","Yes","National Park Zone",NA,"RAW5","BU5.5"
"2020-10_south-west_stereo-BRUVs","IO278","IO","Legacy",-34.11118897,114.6388721,20201123,"7:45","South-west","No-take","C.IO.15",140,"Brooke Gibbons","Yes","Yes","National Park Zone",NA,"RAW5","BU5.5"
"2020-10_south-west_stereo-BRUVs","IO280","IO","Legacy",-34.08868897,114.6738721,20201023,"9:24:00","South-west","No-take","C.IO.14",139,"Rachel","Yes","Yes","National Park Zone",NA,"RAW4","CON3"
"2020-10_south-west_stereo-BRUVs","IO290","IO","Legacy",-34.06868897,114.7188721,20201023,"7:07:00","South-west","No-take","C.IO.13",124,"Rachel","Yes","Yes","National Park Zone",NA,"RAW4","CON3"
"2020-10_south-west_stereo-BRUVs","IO291","IO","Legacy",-34.08368897,114.7488721,20201022,"13:09:00","South-west","No-take","C.IO.12",109,"Rachel","Yes","Yes","National Park Zone",NA,"RAW4","CON3"
"2020-10_south-west_stereo-BRUVs","IO293","IO","Legacy",-34.08868897,114.7588721,20201022,"12:55:00","South-west","No-take","C.IO.12",111,"Claude","Yes","Yes","National Park Zone",NA,"RAW4","CON3"
"2020-10_south-west_stereo-BRUVs","IO294","IO","Legacy",-34.08368897,114.7538721,20201022,"13:04:00","South-west","No-take","C.IO.12",114,"Rachel","Yes","Yes","National Park Zone",NA,"RAW4",NA
"2020-10_south-west_stereo-BRUVs","IO295","IO","Legacy",-34.10368897,114.7538721,20201022,"12:25:00","South-west","No-take","C.IO.11",109,"Rachel","Yes","Yes","National Park Zone",NA,"RAW4","CON3"
"2020-10_south-west_stereo-BRUVs","IO297","IO","Legacy",-34.10618897,114.7488721,20201022,"12:21:00","South-west","No-take","C.IO.11",114,"Rachel","Yes","Yes","National Park Zone",NA,"RAW4","CON3"
"2020-10_south-west_stereo-BRUVs","IO298","IO","Legacy",-34.07618897,114.6713721,20201023,"9:39:00","South-west","No-take","C.IO.14",138,"Rachel","Yes","Yes","National Park Zone",NA,"RAW4",NA
"2020-10_south-west_stereo-BRUVs","IO299","IO","Legacy",-34.08118897,114.6763721,20201023,"9:32:00","South-west","No-take","C.IO.14",139,"Rachel","Yes","Yes","National Park Zone",NA,"RAW4",NA
"2020-10_south-west_stereo-BRUVs","IO3","IO","MBH",-34.07618897,114.7838721,20201015,"12:03:00","South-west","No-take","C.IO.43",62,"Hayley","Yes","Yes","National Park Zone",NA,"RAW2","CON1"
