"id","campaignid","sample","family","genus","species","length","range","dataset","planned.or.exploratory","latitude","longitude","date","time","location","status","site","depth","observer","successful.count","successful.length","commonwealth.zone","state.zone","raw.hdd.number","con.hdd.number"
"2020-06_south-west_stereo-BRUVs.01","2020-06_south-west_stereo-BRUVs","01","Serranidae","Caesioperca","spp",134.20839,2186.99994,"NA","MBH",-34.128599,114.930865,20200602,09:10:00,"South-west","No-take","c1",46.7,"Hayley","Yes","Yes","National Park Zone","NA","1","NA"
"2020-06_south-west_stereo-BRUVs.01","2020-06_south-west_stereo-BRUVs","01","Serranidae","Caesioperca","spp",153.6918,1927.16031,"NA","MBH",-34.128599,114.930865,20200602,09:10:00,"South-west","No-take","c1",46.7,"Hayley","Yes","Yes","National Park Zone","NA","1","NA"
"2020-06_south-west_stereo-BRUVs.01","2020-06_south-west_stereo-BRUVs","01","Serranidae","Caesioperca","spp",181.08339,1903.05278,"NA","MBH",-34.128599,114.930865,20200602,09:10:00,"South-west","No-take","c1",46.7,"Hayley","Yes","Yes","National Park Zone","NA","1","NA"
"2020-06_south-west_stereo-BRUVs.01","2020-06_south-west_stereo-BRUVs","01","Serranidae","Caesioperca","spp",186.08155,1650.85178,"NA","MBH",-34.128599,114.930865,20200602,09:10:00,"South-west","No-take","c1",46.7,"Hayley","Yes","Yes","National Park Zone","NA","1","NA"
"2020-06_south-west_stereo-BRUVs.01","2020-06_south-west_stereo-BRUVs","01","Serranidae","Caesioperca","spp",195.43343,1420.98125,"NA","MBH",-34.128599,114.930865,20200602,09:10:00,"South-west","No-take","c1",46.7,"Hayley","Yes","Yes","National Park Zone","NA","1","NA"
"2020-06_south-west_stereo-BRUVs.01","2020-06_south-west_stereo-BRUVs","01","Serranidae","Caesioperca","spp",140.52817,2011.03842,"NA","MBH",-34.128599,114.930865,20200602,09:10:00,"South-west","No-take","c1",46.7,"Hayley","Yes","Yes","National Park Zone","NA","1","NA"
"2020-06_south-west_stereo-BRUVs.01","2020-06_south-west_stereo-BRUVs","01","Serranidae","Caesioperca","spp",138.70284,1957.54611,"NA","MBH",-34.128599,114.930865,20200602,09:10:00,"South-west","No-take","c1",46.7,"Hayley","Yes","Yes","National Park Zone","NA","1","NA"
"2020-06_south-west_stereo-BRUVs.01","2020-06_south-west_stereo-BRUVs","01","Serranidae","Caesioperca","spp",146.59042,2067.34447,"NA","MBH",-34.128599,114.930865,20200602,09:10:00,"South-west","No-take","c1",46.7,"Hayley","Yes","Yes","National Park Zone","NA","1","NA"
"2020-06_south-west_stereo-BRUVs.01","2020-06_south-west_stereo-BRUVs","01","Sparidae","Chrysophrys","auratus",614.98007,1699.6827,"NA","MBH",-34.128599,114.930865,20200602,09:10:00,"South-west","No-take","c1",46.7,"Hayley","Yes","Yes","National Park Zone","NA","1","NA"
"2020-06_south-west_stereo-BRUVs.01","2020-06_south-west_stereo-BRUVs","01","Triakidae","Furgaleus","macki",1049.17237,5084.09114,"NA","MBH",-34.128599,114.930865,20200602,09:10:00,"South-west","No-take","c1",46.7,"Hayley","Yes","Yes","National Park Zone","NA","1","NA"
"2020-06_south-west_stereo-BRUVs.03","2020-06_south-west_stereo-BRUVs","03","Gerreidae","Parequula","melbournensis",77.48468,1873.81649,"NA","MBH",-34.126906,114.925945,20200602,09:27:00,"South-west","No-take","c1",39.3,"Hayley","Yes","Yes","National Park Zone","NA","1","NA"
"2020-06_south-west_stereo-BRUVs.03","2020-06_south-west_stereo-BRUVs","03","Gerreidae","Parequula","melbournensis",77.62741,1706.86178,"NA","MBH",-34.126906,114.925945,20200602,09:27:00,"South-west","No-take","c1",39.3,"Hayley","Yes","Yes","National Park Zone","NA","1","NA"
"2020-06_south-west_stereo-BRUVs.03","2020-06_south-west_stereo-BRUVs","03","Glaucosomatidae","Glaucosoma","hebraicum",772.90232,1612.34727,"NA","MBH",-34.126906,114.925945,20200602,09:27:00,"South-west","No-take","c1",39.3,"Hayley","Yes","Yes","National Park Zone","NA","1","NA"
"2020-06_south-west_stereo-BRUVs.03","2020-06_south-west_stereo-BRUVs","03","Glaucosomatidae","Glaucosoma","hebraicum",856.35485,3701.60175,"NA","MBH",-34.126906,114.925945,20200602,09:27:00,"South-west","No-take","c1",39.3,"Hayley","Yes","Yes","National Park Zone","NA","1","NA"
"2020-06_south-west_stereo-BRUVs.03","2020-06_south-west_stereo-BRUVs","03","Glaucosomatidae","Glaucosoma","hebraicum",658.96396,1935.2688,"NA","MBH",-34.126906,114.925945,20200602,09:27:00,"South-west","No-take","c1",39.3,"Hayley","Yes","Yes","National Park Zone","NA","1","NA"
"2020-06_south-west_stereo-BRUVs.03","2020-06_south-west_stereo-BRUVs","03","Labridae","Coris","auricularis",89.06823,1404.71204,"NA","MBH",-34.126906,114.925945,20200602,09:27:00,"South-west","No-take","c1",39.3,"Hayley","Yes","Yes","National Park Zone","NA","1","NA"
"2020-06_south-west_stereo-BRUVs.03","2020-06_south-west_stereo-BRUVs","03","Labridae","Coris","auricularis",168.40496,1677.7906,"NA","MBH",-34.126906,114.925945,20200602,09:27:00,"South-west","No-take","c1",39.3,"Hayley","Yes","Yes","National Park Zone","NA","1","NA"
"2020-06_south-west_stereo-BRUVs.03","2020-06_south-west_stereo-BRUVs","03","Labridae","Coris","auricularis",138.6721,3256.56411,"NA","MBH",-34.126906,114.925945,20200602,09:27:00,"South-west","No-take","c1",39.3,"Hayley","Yes","Yes","National Park Zone","NA","1","NA"
"2020-06_south-west_stereo-BRUVs.03","2020-06_south-west_stereo-BRUVs","03","Labridae","Ophthalmolepis","lineolatus",139.90192,1906.59622,"NA","MBH",-34.126906,114.925945,20200602,09:27:00,"South-west","No-take","c1",39.3,"Hayley","Yes","Yes","National Park Zone","NA","1","NA"
"2020-06_south-west_stereo-BRUVs.03","2020-06_south-west_stereo-BRUVs","03","Labridae","Ophthalmolepis","lineolatus",179.50324,1524.28866,"NA","MBH",-34.126906,114.925945,20200602,09:27:00,"South-west","No-take","c1",39.3,"Hayley","Yes","Yes","National Park Zone","NA","1","NA"
"2020-06_south-west_stereo-BRUVs.03","2020-06_south-west_stereo-BRUVs","03","Labridae","Ophthalmolepis","lineolatus",168.73364,2143.18599,"NA","MBH",-34.126906,114.925945,20200602,09:27:00,"South-west","No-take","c1",39.3,"Hayley","Yes","Yes","National Park Zone","NA","1","NA"
"2020-06_south-west_stereo-BRUVs.03","2020-06_south-west_stereo-BRUVs","03","Labridae","Ophthalmolepis","lineolatus",131.40395,2270.0943,"NA","MBH",-34.126906,114.925945,20200602,09:27:00,"South-west","No-take","c1",39.3,"Hayley","Yes","Yes","National Park Zone","NA","1","NA"
"2020-06_south-west_stereo-BRUVs.03","2020-06_south-west_stereo-BRUVs","03","Labridae","Ophthalmolepis","lineolatus",174.11807,1317.2424,"NA","MBH",-34.126906,114.925945,20200602,09:27:00,"South-west","No-take","c1",39.3,"Hayley","Yes","Yes","National Park Zone","NA","1","NA"
"2020-06_south-west_stereo-BRUVs.03","2020-06_south-west_stereo-BRUVs","03","Labridae","Ophthalmolepis","lineolatus",150.20986,1388.37,"NA","MBH",-34.126906,114.925945,20200602,09:27:00,"South-west","No-take","c1",39.3,"Hayley","Yes","Yes","National Park Zone","NA","1","NA"
"2020-06_south-west_stereo-BRUVs.03","2020-06_south-west_stereo-BRUVs","03","Labridae","Pseudolabrus","biserialis",167.64564,1816.08348,"NA","MBH",-34.126906,114.925945,20200602,09:27:00,"South-west","No-take","c1",39.3,"Hayley","Yes","Yes","National Park Zone","NA","1","NA"
"2020-06_south-west_stereo-BRUVs.03","2020-06_south-west_stereo-BRUVs","03","Labridae","Pseudolabrus","biserialis",84.90186,1828.68877,"NA","MBH",-34.126906,114.925945,20200602,09:27:00,"South-west","No-take","c1",39.3,"Hayley","Yes","Yes","National Park Zone","NA","1","NA"
"2020-06_south-west_stereo-BRUVs.03","2020-06_south-west_stereo-BRUVs","03","Labridae","Pseudolabrus","biserialis",131.75609,1474.39918,"NA","MBH",-34.126906,114.925945,20200602,09:27:00,"South-west","No-take","c1",39.3,"Hayley","Yes","Yes","National Park Zone","NA","1","NA"
"2020-06_south-west_stereo-BRUVs.03","2020-06_south-west_stereo-BRUVs","03","Labridae","Pseudolabrus","biserialis",117.74663,1429.25969,"NA","MBH",-34.126906,114.925945,20200602,09:27:00,"South-west","No-take","c1",39.3,"Hayley","Yes","Yes","National Park Zone","NA","1","NA"
"2020-06_south-west_stereo-BRUVs.03","2020-06_south-west_stereo-BRUVs","03","Labridae","Pseudolabrus","biserialis",97.06024,1924.76269,"NA","MBH",-34.126906,114.925945,20200602,09:27:00,"South-west","No-take","c1",39.3,"Hayley","Yes","Yes","National Park Zone","NA","1","NA"
"2020-06_south-west_stereo-BRUVs.03","2020-06_south-west_stereo-BRUVs","03","Labridae","Pseudolabrus","biserialis",146.2842,1156.75109,"NA","MBH",-34.126906,114.925945,20200602,09:27:00,"South-west","No-take","c1",39.3,"Hayley","Yes","Yes","National Park Zone","NA","1","NA"
"2020-06_south-west_stereo-BRUVs.03","2020-06_south-west_stereo-BRUVs","03","Labridae","Pseudolabrus","biserialis",102.43616,1386.46872,"NA","MBH",-34.126906,114.925945,20200602,09:27:00,"South-west","No-take","c1",39.3,"Hayley","Yes","Yes","National Park Zone","NA","1","NA"
"2020-06_south-west_stereo-BRUVs.03","2020-06_south-west_stereo-BRUVs","03","Labridae","Pseudolabrus","biserialis",79.3442,2040.61556,"NA","MBH",-34.126906,114.925945,20200602,09:27:00,"South-west","No-take","c1",39.3,"Hayley","Yes","Yes","National Park Zone","NA","1","NA"
"2020-06_south-west_stereo-BRUVs.03","2020-06_south-west_stereo-BRUVs","03","Pomacentridae","Chromis","klunzingeri",84.7621,1922.88633,"NA","MBH",-34.126906,114.925945,20200602,09:27:00,"South-west","No-take","c1",39.3,"Hayley","Yes","Yes","National Park Zone","NA","1","NA"
