"sample","latitude","longitude","date","time","site","location","successful.count","fov.limited","fov.open","fov.total.points.annotated","broad.consolidated","broad.macroalgae","broad.seagrasses","broad.sponges","broad.unconsolidated","broad.total.points.annotated","mean.relief","sd.relief"
"FH83",-33.91118897,114.8463721,20201013,08:13:00,"C.FH.19","South-west","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FH84",-33.73368897,114.7988721,20201012,12:50:00,"C.FH.7","South-west","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FH85",-33.92618897,114.9138721,20201029,12:55:00,"C.FH.20","South-west","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FH87",-33.92868897,114.8938721,20201029,12:36:00,"C.FH.21","South-west","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FH89",-33.68618897,114.8013721,20201012,10:34:00,"C.FH.4","South-west","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FH9",-33.90118897,114.8513721,20201013,07:58:00,"C.FH.19","South-west","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FH92",-33.84368897,114.8713721,20201012,15:47:00,"C.FH.14","South-west","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FH93",-33.77618897,114.8688721,20201017,11:33:00,"C.FH.10","South-west","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FH94",-33.90868897,114.9413721,20201029,14:36:00,"C.FH.18","South-west","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FH95",-33.75868897,114.8913721,20201017,11:07:00,"C.FH.8","South-west","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FH96",-33.81868897,114.8338721,20201012,15:20:00,"C.FH.13","South-west","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FH99",-33.95368897,114.8363721,20201013,10:04:00,"C.FH.22","South-west","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FHA",-33.683135,114.937827,20201017,06:55:00,"C.FH.3","South-west","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FHB",-33.681655,114.957127,20201017,07:02:00,"C.FH.A","South-west","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FHC",-33.680718,114.965092,20201017,07:07:00,"C.FH.A","South-west","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FHC01",-33.669869,114.809825,20201012,08:38:00,"C.FH.2","South-west","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FHC02",-33.72358,114.813293,20201012,11:13:00,"C.FH.6","South-west","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FHC03",-33.948622,114.819555,20201013,09:56:00,"C.FH.22","South-west","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FHD",-33.686897,114.958507,20201017,07:12:00,"C.FH.A","South-west","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FHE",-33.687267,114.951172,20201017,07:16:00,"C.FH.A","South-west","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IO1",-34.07868897,114.7788721,20201015,12:07:00,"C.IO.43","South-west","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IO100",-34.07618897,114.9088721,20201029,10:21:00,"C.IO.39","South-west","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IO101",-34.07868897,114.8963721,20201029,10:10:00,"C.IO.39","South-west","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IO102",-34.07118897,114.9113721,20201029,10:26:00,"C.IO.2","South-west","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IO105",-34.06368897,114.6688721,20201023,09:45:00,"C.IO.30","South-west","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IO107",-34.06368897,114.6763721,20201023,09:50:00,"C.IO.30","South-west","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IO108",-34.05118897,114.6688721,20201023,10:04:00,"C.IO.30","South-west","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IO109",-34.05618897,114.6738721,20201023,09:57:00,"C.IO.30","South-west","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IO110",-34.14118897,114.7288721,20201022,08:00:00,"C.IO.68","South-west","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IO113",-34.05868897,114.7388721,20201023,07:30:00,"C.IO.31","South-west","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IO115",-34.05368897,114.7363721,20201023,07:34:00,"C.IO.31","South-west","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
