Dot Point Measurements

Generated: Wednesday 08 May 2024 13:20:55

Filename	Frame	Time (mins)	Image row	Image col	test										campaignid	relief_annotated	level_2	level_3	level_4	level_5	scientific	qualifiers	CAAB_code		Radius %
105_1_01_L1231_MAH00448.MP4_0079542.jpg	      0		139	1342											2024_Albany_stereo-BRUVs	yes									64.2
105_1_01_L1231_MAH00448.MP4_0079542.jpg	      0		406	1342											2024_Albany_stereo-BRUVs	yes									46.9
105_1_01_L1231_MAH00448.MP4_0079542.jpg	      0		674	1342											2024_Albany_stereo-BRUVs	yes	Relief	Flat		0			82003001		46.9
105_1_01_L1231_MAH00448.MP4_0079542.jpg	      0		941	1342											2024_Albany_stereo-BRUVs	yes	Relief	Flat		0			82003001		64.2
105_1_01_L1231_MAH00448.MP4_0079542.jpg	      0		139	1724											2024_Albany_stereo-BRUVs	yes									100.0
105_1_01_L1231_MAH00448.MP4_0079542.jpg	      0		406	1724											2024_Albany_stereo-BRUVs	yes									89.9
105_1_01_L1231_MAH00448.MP4_0079542.jpg	      0		674	1724											2024_Albany_stereo-BRUVs	yes	Relief	Low / moderate	Low (<1m)	1			82003003		89.9
105_1_01_L1231_MAH00448.MP4_0079542.jpg	      0		941	1724											2024_Albany_stereo-BRUVs	yes	Relief	Low / moderate	Low (<1m)	1			82003003		100.0
106_1_01_L1207_MAH00041.MP4_0033598.jpg	      0		139	196											2024_Albany_stereo-BRUVs	yes									100.0
106_1_01_L1207_MAH00041.MP4_0033598.jpg	      0		406	196											2024_Albany_stereo-BRUVs	yes									89.9
106_1_01_L1207_MAH00041.MP4_0033598.jpg	      0		674	196											2024_Albany_stereo-BRUVs	yes	Relief	Low / moderate	Low (<1m)	1			82003003		89.9
106_1_01_L1207_MAH00041.MP4_0033598.jpg	      0		941	196											2024_Albany_stereo-BRUVs	yes	Relief	Low / moderate	Low (<1m)	1			82003003		100.0
106_1_01_L1207_MAH00041.MP4_0033598.jpg	      0		139	578											2024_Albany_stereo-BRUVs	yes									64.2
106_1_01_L1207_MAH00041.MP4_0033598.jpg	      0		406	578											2024_Albany_stereo-BRUVs	yes									46.9
106_1_01_L1207_MAH00041.MP4_0033598.jpg	      0		674	578											2024_Albany_stereo-BRUVs	yes	Relief	Low / moderate	Low (<1m)	1			82003003		46.9
106_1_01_L1207_MAH00041.MP4_0033598.jpg	      0		941	578											2024_Albany_stereo-BRUVs	yes	Relief	Low / moderate	Low (<1m)	1			82003003		64.2
106_1_01_L1207_MAH00041.MP4_0033598.jpg	      0		139	960											2024_Albany_stereo-BRUVs	yes									46.5
106_1_01_L1207_MAH00041.MP4_0033598.jpg	      0		406	960											2024_Albany_stereo-BRUVs	yes									15.5
106_1_01_L1207_MAH00041.MP4_0033598.jpg	      0		674	960											2024_Albany_stereo-BRUVs	yes	Relief	Low / moderate	Low (<1m)	1			82003003		15.5
106_1_01_L1207_MAH00041.MP4_0033598.jpg	      0		941	960											2024_Albany_stereo-BRUVs	yes	Relief	Low / moderate	Low (<1m)	1			82003003		46.5
106_1_01_L1207_MAH00041.MP4_0033598.jpg	      0		139	1342											2024_Albany_stereo-BRUVs	yes									64.2
106_1_01_L1207_MAH00041.MP4_0033598.jpg	      0		406	1342											2024_Albany_stereo-BRUVs	yes									46.9
106_1_01_L1207_MAH00041.MP4_0033598.jpg	      0		674	1342											2024_Albany_stereo-BRUVs	yes	Relief	Low / moderate	Low (<1m)	1			82003003		46.9
106_1_01_L1207_MAH00041.MP4_0033598.jpg	      0		941	1342											2024_Albany_stereo-BRUVs	yes	Relief	Low / moderate	Low (<1m)	1			82003003		64.2
106_1_01_L1207_MAH00041.MP4_0033598.jpg	      0		139	1724											2024_Albany_stereo-BRUVs	yes									100.0
106_1_01_L1207_MAH00041.MP4_0033598.jpg	      0		406	1724											2024_Albany_stereo-BRUVs	yes									89.9
106_1_01_L1207_MAH00041.MP4_0033598.jpg	      0		674	1724											2024_Albany_stereo-BRUVs	yes	Relief	Low / moderate	Low (<1m)	1			82003003		89.9
106_1_01_L1207_MAH00041.MP4_0033598.jpg	      0		941	1724											2024_Albany_stereo-BRUVs	yes	Relief	Low / moderate	Low (<1m)	1			82003003		100.0
107__01_L1231_MAH00449.MP4_0045956.jpg	      0		139	196											2024_Albany_stereo-BRUVs	yes									100.0
107__01_L1231_MAH00449.MP4_0045956.jpg	      0		406	196											2024_Albany_stereo-BRUVs	yes									89.9
107__01_L1231_MAH00449.MP4_0045956.jpg	      0		674	196											2024_Albany_stereo-BRUVs	yes	Relief	Low / moderate	Moderate (1-3m)	2			82003004		89.9
107__01_L1231_MAH00449.MP4_0045956.jpg	      0		941	196											2024_Albany_stereo-BRUVs	yes	Relief	Low / moderate	Moderate (1-3m)	2			82003004		100.0
107__01_L1231_MAH00449.MP4_0045956.jpg	      0		139	578											2024_Albany_stereo-BRUVs	yes									64.2
107__01_L1231_MAH00449.MP4_0045956.jpg	      0		406	578											2024_Albany_stereo-BRUVs	yes									46.9
107__01_L1231_MAH00449.MP4_0045956.jpg	      0		674	578											2024_Albany_stereo-BRUVs	yes	Relief	Low / moderate	Moderate (1-3m)	2			82003004		46.9
107__01_L1231_MAH00449.MP4_0045956.jpg	      0		941	578											2024_Albany_stereo-BRUVs	yes	Relief	Flat		0			82003001		64.2
107__01_L1231_MAH00449.MP4_0045956.jpg	      0		139	960											2024_Albany_stereo-BRUVs	yes									46.5
107__01_L1231_MAH00449.MP4_0045956.jpg	      0		406	960											2024_Albany_stereo-BRUVs	yes									15.5
107__01_L1231_MAH00449.MP4_0045956.jpg	      0		674	960											2024_Albany_stereo-BRUVs	yes	Relief	Low / moderate	Moderate (1-3m)	2			82003004		15.5
107__01_L1231_MAH00449.MP4_0045956.jpg	      0		941	960											2024_Albany_stereo-BRUVs	yes	Relief	Flat		0			82003001		46.5
107__01_L1231_MAH00449.MP4_0045956.jpg	      0		139	1342											2024_Albany_stereo-BRUVs	yes									64.2
107__01_L1231_MAH00449.MP4_0045956.jpg	      0		406	1342											2024_Albany_stereo-BRUVs	yes									46.9
107__01_L1231_MAH00449.MP4_0045956.jpg	      0		674	1342											2024_Albany_stereo-BRUVs	yes	Relief	Low / moderate	Moderate (1-3m)	2			82003004		46.9
107__01_L1231_MAH00449.MP4_0045956.jpg	      0		941	1342											2024_Albany_stereo-BRUVs	yes	Relief	Flat		0			82003001		64.2
107__01_L1231_MAH00449.MP4_0045956.jpg	      0		139	1724											2024_Albany_stereo-BRUVs	yes									100.0
107__01_L1231_MAH00449.MP4_0045956.jpg	      0		406	1724											2024_Albany_stereo-BRUVs	yes									89.9
107__01_L1231_MAH00449.MP4_0045956.jpg	      0		674	1724											2024_Albany_stereo-BRUVs	yes	Relief	Low / moderate	Low (<1m)	1			82003003		89.9
107__01_L1231_MAH00449.MP4_0045956.jpg	      0		941	1724											2024_Albany_stereo-BRUVs	yes	Relief	Flat		0			82003001		100.0
108_1_01_L1207_MAH00041.MP4_0075144.jpg	      0		139	196											2024_Albany_stereo-BRUVs	yes									100.0
108_1_01_L1207_MAH00041.MP4_0075144.jpg	      0		406	196											2024_Albany_stereo-BRUVs	yes									89.9
108_1_01_L1207_MAH00041.MP4_0075144.jpg	      0		674	196											2024_Albany_stereo-BRUVs	yes	Relief	Low / moderate	Moderate (1-3m)	2			82003004		89.9
108_1_01_L1207_MAH00041.MP4_0075144.jpg	      0		941	196											2024_Albany_stereo-BRUVs	yes	Relief	Low / moderate	Moderate (1-3m)	2			82003004		100.0
108_1_01_L1207_MAH00041.MP4_0075144.jpg	      0		139	578											2024_Albany_stereo-BRUVs	yes									64.2
108_1_01_L1207_MAH00041.MP4_0075144.jpg	      0		406	578											2024_Albany_stereo-BRUVs	yes									46.9
108_1_01_L1207_MAH00041.MP4_0075144.jpg	      0		674	578											2024_Albany_stereo-BRUVs	yes	Relief	Low / moderate	Moderate (1-3m)	2			82003004		46.9
108_1_01_L1207_MAH00041.MP4_0075144.jpg	      0		941	578											2024_Albany_stereo-BRUVs	yes	Relief	Low / moderate	Moderate (1-3m)	2			82003004		64.2
108_1_01_L1207_MAH00041.MP4_0075144.jpg	      0		139	960											2024_Albany_stereo-BRUVs	yes									46.5
108_1_01_L1207_MAH00041.MP4_0075144.jpg	      0		406	960											2024_Albany_stereo-BRUVs	yes									15.5
108_1_01_L1207_MAH00041.MP4_0075144.jpg	      0		674	960											2024_Albany_stereo-BRUVs	yes	Relief	Low / moderate	Moderate (1-3m)	2			82003004		15.5
108_1_01_L1207_MAH00041.MP4_0075144.jpg	      0		941	960											2024_Albany_stereo-BRUVs	yes	Relief	Low / moderate	Moderate (1-3m)	2			82003004		46.5
108_1_01_L1207_MAH00041.MP4_0075144.jpg	      0		139	1342											2024_Albany_stereo-BRUVs	yes									64.2
108_1_01_L1207_MAH00041.MP4_0075144.jpg	      0		406	1342											2024_Albany_stereo-BRUVs	yes									46.9
108_1_01_L1207_MAH00041.MP4_0075144.jpg	      0		674	1342											2024_Albany_stereo-BRUVs	yes	Relief	Low / moderate	Moderate (1-3m)	2			82003004		46.9
108_1_01_L1207_MAH00041.MP4_0075144.jpg	      0		941	1342											2024_Albany_stereo-BRUVs	yes	Relief	Low / moderate	Moderate (1-3m)	2			82003004		64.2
108_1_01_L1207_MAH00041.MP4_0075144.jpg	      0		139	1724											2024_Albany_stereo-BRUVs	yes									100.0
108_1_01_L1207_MAH00041.MP4_0075144.jpg	      0		406	1724											2024_Albany_stereo-BRUVs	yes									89.9
108_1_01_L1207_MAH00041.MP4_0075144.jpg	      0		674	1724											2024_Albany_stereo-BRUVs	yes	Relief	Low / moderate	Moderate (1-3m)	2			82003004		89.9
108_1_01_L1207_MAH00041.MP4_0075144.jpg	      0		941	1724											2024_Albany_stereo-BRUVs	yes	Relief	Low / moderate	Low (<1m)	1			82003003		100.0
109__01_L1231_MAH00450.MP4_0013610.jpg	      0		139	196											2024_Albany_stereo-BRUVs	yes									100.0
109__01_L1231_MAH00450.MP4_0013610.jpg	      0		406	196											2024_Albany_stereo-BRUVs	yes									89.9
109__01_L1231_MAH00450.MP4_0013610.jpg	      0		674	196											2024_Albany_stereo-BRUVs	yes	Relief	Low / moderate	Moderate (1-3m)	2			82003004		89.9
109__01_L1231_MAH00450.MP4_0013610.jpg	      0		941	196											2024_Albany_stereo-BRUVs	yes	Relief	Flat		0			82003001		100.0
109__01_L1231_MAH00450.MP4_0013610.jpg	      0		139	578											2024_Albany_stereo-BRUVs	yes									64.2
109__01_L1231_MAH00450.MP4_0013610.jpg	      0		406	578											2024_Albany_stereo-BRUVs	yes									46.9
109__01_L1231_MAH00450.MP4_0013610.jpg	      0		674	578											2024_Albany_stereo-BRUVs	yes	Relief	Low / moderate	Moderate (1-3m)	2			82003004		46.9
109__01_L1231_MAH00450.MP4_0013610.jpg	      0		941	578											2024_Albany_stereo-BRUVs	yes	Relief	Flat		0			82003001		64.2
109__01_L1231_MAH00450.MP4_0013610.jpg	      0		139	960											2024_Albany_stereo-BRUVs	yes									46.5
109__01_L1231_MAH00450.MP4_0013610.jpg	      0		406	960											2024_Albany_stereo-BRUVs	yes									15.5
109__01_L1231_MAH00450.MP4_0013610.jpg	      0		674	960											2024_Albany_stereo-BRUVs	yes	Relief	Low / moderate	Moderate (1-3m)	2			82003004		15.5
109__01_L1231_MAH00450.MP4_0013610.jpg	      0		941	960											2024_Albany_stereo-BRUVs	yes	Relief	Flat		0			82003001		46.5
109__01_L1231_MAH00450.MP4_0013610.jpg	      0		139	1342											2024_Albany_stereo-BRUVs	yes									64.2
