"sample","latitude","longitude","date","time","site","location","successful.count"
"FH74",-33.73118897,114.8063721,20201012,12:47:00,"C.FH.7","South-west","Yes"
"FH77",-33.99618897,114.8763721,20201013,12:42:00,"C.FH.24","South-west","Yes"
"FH78",-33.89118897,114.9163721,20201029,14:56:00,"C.FH.17","South-west","Yes"
"FH79",-33.88618897,114.8088721,20201013,07:43:00,"C.FH.16","South-west","Yes"
"FH8",-33.72368897,114.8013721,20201012,12:34:00,"C.FH.7","South-west","Yes"
"FH82",-33.68618897,114.9238721,20201017,06:46:00,"C.FH.3","South-west","Yes"
"FH83",-33.91118897,114.8463721,20201013,08:13:00,"C.FH.19","South-west","Yes"
"FH84",-33.73368897,114.7988721,20201012,12:50:00,"C.FH.7","South-west","Yes"
"FH85",-33.92618897,114.9138721,20201029,12:55:00,"C.FH.20","South-west","Yes"
"FH87",-33.92868897,114.8938721,20201029,12:36:00,"C.FH.21","South-west","Yes"
"FH89",-33.68618897,114.8013721,20201012,10:34:00,"C.FH.4","South-west","Yes"
"FH9",-33.90118897,114.8513721,20201013,07:58:00,"C.FH.19","South-west","Yes"
"FH92",-33.84368897,114.8713721,20201012,15:47:00,"C.FH.14","South-west","Yes"
"FH93",-33.77618897,114.8688721,20201017,11:33:00,"C.FH.10","South-west","Yes"
"FH94",-33.90868897,114.9413721,20201029,14:36:00,"C.FH.18","South-west","Yes"
"FH95",-33.75868897,114.8913721,20201017,11:07:00,"C.FH.8","South-west","Yes"
"FH96",-33.81868897,114.8338721,20201012,15:20:00,"C.FH.13","South-west","Yes"
"FH99",-33.95368897,114.8363721,20201013,10:04:00,"C.FH.22","South-west","Yes"
"FHA",-33.683135,114.937827,20201017,06:55:00,"C.FH.3","South-west","Yes"
"FHB",-33.681655,114.957127,20201017,07:02:00,"C.FH.A","South-west","Yes"
"FHC",-33.680718,114.965092,20201017,07:07:00,"C.FH.A","South-west","Yes"
"FHC01",-33.669869,114.809825,20201012,08:38:00,"C.FH.2","South-west","Yes"
"FHC02",-33.72358,114.813293,20201012,11:13:00,"C.FH.6","South-west","Yes"
"FHC03",-33.948622,114.819555,20201013,09:56:00,"C.FH.22","South-west","Yes"
"FHD",-33.686897,114.958507,20201017,07:12:00,"C.FH.A","South-west","Yes"
"FHE",-33.687267,114.951172,20201017,07:16:00,"C.FH.A","South-west","Yes"
"IO1",-34.07868897,114.7788721,20201015,12:07:00,"C.IO.43","South-west","Yes"
"IO100",-34.07618897,114.9088721,20201029,10:21:00,"C.IO.39","South-west","Yes"
"IO101",-34.07868897,114.8963721,20201029,10:10:00,"C.IO.39","South-west","Yes"
"IO102",-34.07118897,114.9113721,20201029,10:26:00,"C.IO.2","South-west","Yes"
"IO105",-34.06368897,114.6688721,20201023,09:45:00,"C.IO.30","South-west","Yes"
"IO107",-34.06368897,114.6763721,20201023,09:50:00,"C.IO.30","South-west","Yes"
"IO108",-34.05118897,114.6688721,20201023,10:04:00,"C.IO.30","South-west","Yes"
"IO109",-34.05618897,114.6738721,20201023,09:57:00,"C.IO.30","South-west","Yes"
"IO110",-34.14118897,114.7288721,20201022,08:00:00,"C.IO.68","South-west","Yes"
"IO113",-34.05868897,114.7388721,20201023,07:30:00,"C.IO.31","South-west","Yes"
"IO115",-34.05368897,114.7363721,20201023,07:34:00,"C.IO.31","South-west","Yes"
"IO117",-34.06368897,114.7388721,20201023,07:25:00,"C.IO.31","South-west","Yes"
"IO119",-34.07618897,114.9038721,20201029,10:17:00,"C.IO.39","South-west","Yes"
"IO122",-34.11618897,114.8263721,20201015,12:35:00,"C.IO.59","South-west","Yes"
"IO123",-34.10618897,114.8188721,20201015,12:42:00,"C.IO.59","South-west","Yes"
"IO125",-34.10868897,114.8263721,20201015,12:38:00,"C.IO.59","South-west","Yes"
"IO126",-34.11368897,114.8188721,20201015,12:31:00,"C.IO.59","South-west","Yes"
"IO130",-33.98118897,114.8763721,20201013,12:24:00,"C.IO.37","South-west","Yes"
"IO132",-33.99118897,114.8713721,20201013,12:47:00,"C.IO.37","South-west","Yes"
"IO133",-33.99118897,114.8663721,20201013,12:50:00,"C.IO.37","South-west","Yes"
"IO134",-33.98368897,114.8613721,20201013,12:14:00,"C.IO.37","South-west","Yes"
"IO145",-33.98618897,114.8238721,20201013,10:24:00,"C.IO.22","South-west","Yes"
"IO146",-33.97618897,114.8213721,20201013,10:17:00,"C.IO.33","South-west","Yes"
"IO147",-33.98118897,114.8313721,20201013,10:28:00,"C.IO.33","South-west","Yes"
"IO148",-34.01118897,114.5963721,20201123,10:31:00,"C.IO.46","South-west","Yes"
"IO15",-34.06118897,114.8663721,20201016,07:59:00,"C.IO.35","South-west","Yes"
"IO152",-33.98118897,114.8688721,20201013,12:18:00,"C.IO.37","South-west","Yes"
"IO153",-34.04618897,114.8888721,20201016,07:36:00,"C.IO.65","South-west","Yes"
"IO155",-34.04368897,114.8838721,20201016,07:42:00,"C.IO.65","South-west","Yes"
"IO157",-33.97118897,114.8238721,20201013,10:14:00,"C.IO.33","South-west","Yes"
