"","response","formula","AICc","BIC","r2.vals","r2.vals.unique","edf","edf.less.1","delta.AICc","delta.BIC","wi.AICc","wi.BIC","distance_from_access","unconsolidated","macroalgae","seagrasses","depth_m","mean_relief","sd_relief","cumsum.wi"
"depth_m+macroalgae...55","Legal KGW","s(depth_m, k = 3, bs = ""cr"") + s(macroalgae, k = 3, bs = ""cr"")",73.4336913432058,85.9048850672553,0.04595,NA,4.5,0,2.345,8.904,0.022,0.004,0,0,1,0,1,0,0,0.773
"depth_m+distance_from_access+mean_relief","Legal KGW","s(depth_m, k = 3, bs = ""cr"") + s(distance_from_access, k = 3, bs = ""cr"") + s(mean_relief, k = 3, bs = ""cr"")",73.5679808444651,87.3425639495848,0.03367,NA,5.34,0,2.479,10.342,0.021,0.002,1,0,0,0,1,1,0,0.794
"sd_relief...57","Legal KGW","s(sd_relief, k = 3, bs = ""cr"")",73.6562521172544,82.2742968681974,0.03154,NA,2.3,0,2.567,5.274,0.02,0.026,0,0,0,0,0,0,1,0.814
"distance_from_access+macroalgae+sd_relief...58","Legal KGW","s(distance_from_access, k = 3, bs = ""cr"") + s(macroalgae, k = 3, bs = ""cr"") + s(sd_relief, k = 3, bs = ""cr"")",73.8273181012976,84.9372004547301,0.04447,NA,4,0,2.738,7.937,0.018,0.007,1,0,1,0,0,0,1,0.832
"depth_m+sd_relief...59","Legal KGW","s(depth_m, k = 3, bs = ""cr"") + s(sd_relief, k = 3, bs = ""cr"")",73.8936323628251,84.9213344836974,0.02514,NA,3.77,0,2.805,7.921,0.018,0.007,0,0,0,0,1,0,1,0.85
"distance_from_access+mean_relief...60","Legal KGW","s(distance_from_access, k = 3, bs = ""cr"") + s(mean_relief, k = 3, bs = ""cr"")",73.9842233203266,83.69986388191,0.0323,NA,3.08,0,2.895,6.699,0.017,0.013,1,0,0,0,0,1,0,0.867
"macroalgae+sd_relief+seagrasses...61","Legal KGW","s(macroalgae, k = 3, bs = ""cr"") + s(sd_relief, k = 3, bs = ""cr"") + s(seagrasses, k = 3, bs = ""cr"")",74.0245646816787,85.1344542730188,0.04187,NA,4,0,2.936,8.134,0.017,0.006,0,0,1,1,0,0,1,0.884
"mean_relief+sd_relief...62","Legal KGW","s(mean_relief, k = 3, bs = ""cr"") + s(sd_relief, k = 3, bs = ""cr"")",74.1996120164524,84.8622484455768,0.02698,NA,3.47,0,3.111,7.862,0.015,0.007,0,0,0,0,0,1,1,0.899
"depth_m+macroalgae+mean_relief...63","Legal KGW","s(depth_m, k = 3, bs = ""cr"") + s(macroalgae, k = 3, bs = ""cr"") + s(mean_relief, k = 3, bs = ""cr"")",74.3831708131391,89.334870268114,0.05201,NA,6.01,0,3.294,12.334,0.014,0.001,0,0,1,0,1,1,0,0.913
"macroalgae+mean_relief...64","Legal KGW","s(macroalgae, k = 3, bs = ""cr"") + s(mean_relief, k = 3, bs = ""cr"")",74.541161741659,86.5542304117201,0.03616,NA,4.14,0,3.452,9.554,0.013,0.003,0,0,1,0,0,1,0,0.926
